Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
250183,13028,2867,81,0.0282525287757237,negative,1979,1,0,0.3597326,257,,,0
329401,10355,3449,133,0.0385619020005798,positive,1563,2,3,0.38921633,114,,,0
346035,6194,1315,8,0.006083650190114,speech,1002,2,2,0.35197315,113,,,0
75067,6291,2748,126,0.0458515283842794,positive,983,2,3,0.31539086,106,,,0
270215,17108,1631,69,0.0423053341508277,positive,2509,2,0,0.30333498,328,,,0
161346,25523,2982,101,0.033869885982562,negative,3745,2,3,0.38630554,490,,,0
267749,15246,2048,8,0.00390625,positive,2489,2,0,0.354345,271,,,0
48743,56418,5326,115,0.0215921892602328,neutral,8061,2,2,0.3495617,828,,,0
63160,35172,7394,147,0.0198809845820935,neutral,5197,2,3,0.32387027,647,,,0
27140,30494,2137,48,0.0224613944782405,negative,4629,2,4,0.32971814,605,,,0
73055,4007,3686,41,0.0111231687466087,positive,573,2,1,0.36930957,40,,,0
339143,15713,1444,34,0.0235457063711911,positive,2480,2,0,0.3030746,286,,,0
245592,3305,2278,13,0.0057067603160667,negative,518,2,0,0.4068089,29,,,0
89500,39812,2317,55,0.0237375917134225,neutral,5993,2,1,0.33763364,473,,,0
77817,6480,3652,96,0.0262869660460021,neutral,1021,2,2,0.28754556,115,,,0
338748,8749,1637,14,0.0085522296884544,neutral,1370,2,2,0.28104717,134,,,0
343266,13183,1132,15,0.0132508833922261,positive,1953,2,2,0.2967034,218,,,0
201606,27767,2793,5,0.0017901897601145,positive,4203,2,0,0.3615915,376,,,0
79972,34438,5087,46,0.0090426577550619,negative,5302,2,1,0.35513625,608,,,0
326138,26756,1342,60,0.044709388971684,neutral,3909,2,3,0.31265882,348,,,0
79307,17009,3251,75,0.0230698246693325,neutral,2555,2,0,0.2957685,240,,,0
206653,23257,2718,99,0.0364238410596026,neutral,3449,1,0,0.3334164,520,,,0
243036,4882,3198,85,0.0265791119449656,neutral,702,2,2,0.31748685,81,,,0
340123,2788,1278,57,0.0446009389671361,neutral,409,2,0,0.3441843,60,,,0
32403,1642,7942,134,0.0168723243515487,neutral,259,2,1,0.3269857,43,,,0
143769,15347,1625,32,0.0196923076923076,positive,2346,2,1,0.34357533,235,,,0
