Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
78262,35767,1918,3,0.0015641293013555,neutral,5213,2,1,0.31872198,657,,,0
45607,35768,2377,8,0.0033655868742111,speech,5617,0,0,0.32013506,648,,,0
87366,21984,1586,11,0.0069356872635561,neutral,3241,2,1,0.35294798,288,,,0
146899,23974,1221,5,0.004095004095004,neutral,3639,2,0,0.30804902,484,,,0
136474,24776,1538,2,0.0013003901170351,neutral,4055,2,1,0.3523401,570,,,0
205861,43754,1053,10,0.0094966761633428,skip,6581,2,1,0.34836623,455,,,0
207813,33877,1547,14,0.0090497737556561,negative,4909,2,1,0.33741182,512,,,0
265353,24891,1153,16,0.0138768430182133,negative,3810,2,3,0.34949082,475,,,0
277257,48708,1033,11,0.0106485963213939,neutral,7406,1,0,0.30221796,886,,,0
234681,23886,1078,3,0.0027829313543599,neutral,3399,2,0,0.33806276,388,,,0
327317,28370,1147,5,0.004359197907585,positive,4351,2,1,0.3831752,304,,,0
210916,33558,1106,5,0.0045207956600361,neutral,4892,1,0,0.38390878,355,,,0
317407,48665,1014,7,0.0069033530571992,neutral,8031,2,0,0.32858595,779,,,0
30745,20247,1770,4,0.0022598870056497,positive,2835,2,2,0.32281673,437,,,0
177159,26169,1104,8,0.0072463768115942,skip,4167,2,0,0.34593427,352,,,0
46082,20436,2186,32,0.0146386093321134,skip,3271,1,0,0.35732076,443,,,0
188488,29416,1198,3,0.0025041736227045,neutral,4138,2,0,0.3367316,373,,,0
211490,64956,1249,8,0.0064051240992794,positive,9671,2,2,0.3411823,1087,,,0
51758,30646,1677,2,0.0011926058437686,negative,4669,2,1,0.33319575,453,,,0
211834,37656,1562,16,0.0102432778489116,neutral,5843,1,0,0.32825735,546,,,0
7542,37343,2726,30,0.0110051357300073,neutral,5578,2,1,0.30763018,567,,,0
303916,25484,1095,6,0.0054794520547945,skip,3672,2,2,0.3590764,388,,,0
79010,29188,2101,42,0.019990480723465,negative,4344,2,2,0.33319956,489,,,0
184579,28927,1385,6,0.0043321299638989,negative,4579,2,1,0.37002978,332,,,0
44551,32283,2305,28,0.0121475054229934,neutral,5136,2,0,0.36688545,581,,,0
261612,33941,1084,6,0.0055350553505535,neutral,5246,1,0,0.3765341,395,,,0
225877,21638,1062,10,0.0094161958568738,neutral,3223,2,2,0.33851093,302,,,0
86599,74188,1785,29,0.0162464985994397,negative,12042,2,3,0.34287596,1117,,,0
71983,171721,1523,0,0.0,neutral,26208,2,0,0.3324524,4493,,,0
94750,45741,1408,1,0.0007102272727272,neutral,6938,1,0,0.30708355,539,,,0
70721,39741,2140,19,0.0088785046728971,neutral,5970,2,1,0.35148934,676,,,0
128558,28782,1501,0,0.0,neutral,4285,2,1,0.30742452,480,,,0
150120,37780,1433,5,0.0034891835310537,positive,5289,2,0,0.30724218,421,,,0
168095,35859,1262,9,0.0071315372424722,neutral,5292,1,0,0.303707,633,,,0
183270,41113,1141,7,0.0061349693251533,neutral,6605,2,2,0.3161119,638,,,0
190910,31231,1422,22,0.0154711673699015,positive,4640,2,2,0.36232758,506,,,0
244678,31591,1370,13,0.0094890510948905,neutral,4633,1,0,0.34031504,340,,,0
243094,21413,1323,3,0.0022675736961451,neutral,3192,1,0,0.2952125,345,,,0
