iter	RMSE
0	0.2630052681
1	0.2618100182
2	0.2607712
3	0.2595730228
4	0.2582022944
5	0.256887869
6	0.2554819665
7	0.2541608448
8	0.2529746759
9	0.2517723689
10	0.2504312391
11	0.2490582702
12	0.2482019591
13	0.2470036207
14	0.2460569945
15	0.2447443707
16	0.2437577376
17	0.2428264913
18	0.2416367243
19	0.2407538019
20	0.2392414337
21	0.2378171721
22	0.2368546344
23	0.2358137524
24	0.2347614981
25	0.2337105225
26	0.2327784487
27	0.2318889127
28	0.2308578423
29	0.229805321
30	0.2289049125
31	0.2279982134
32	0.2273353596
33	0.2260500089
34	0.2250026768
35	0.224107114
36	0.2233228636
37	0.2226470108
38	0.221950812
39	0.220812219
40	0.2199865055
41	0.2189690189
42	0.2183758817
43	0.2178333836
44	0.2167341318
45	0.2161025722
46	0.2152690386
47	0.2143621921
48	0.2136268565
49	0.2125888823
50	0.2119410697
51	0.2109494038
52	0.2104595599
53	0.209942375
54	0.209002774
55	0.2079943222
56	0.2074024433
57	0.2067469105
58	0.2062807326
59	0.2057067106
60	0.2048347641
61	0.2042089654
62	0.2032024153
63	0.2025651609
64	0.2018392072
65	0.2012725874
66	0.2005092733
67	0.1998212783
68	0.1992814554
69	0.1984596731
70	0.1979282443
71	0.1973119189
72	0.1966993655
73	0.1959498565
74	0.1954760136
75	0.1951066874
76	0.1945566429
77	0.1938207063
78	0.1929170637
79	0.192237689
80	0.1915409846
81	0.1910868424
82	0.1905675907
83	0.1899573614
84	0.1894634747
85	0.1888405974
86	0.1883119544
87	0.1879146913
88	0.1874638792
89	0.1870766776
90	0.1864704165
91	0.1860911594
92	0.1856760335
93	0.1849739238
94	0.1846391929
95	0.1839554507
96	0.1834246517
97	0.1830824221
98	0.1827591042
99	0.1820770565
100	0.1814668769
101	0.1808873563
102	0.1806071043
103	0.1800708063
104	0.1795198473
105	0.1792425901
106	0.1789697198
107	0.178345636
108	0.1775919628
109	0.1771780828
110	0.1764474271
111	0.1760862742
112	0.1755255946
113	0.1748705976
114	0.1745869376
115	0.1742697655
116	0.1737565245
117	0.17328151
118	0.1728380163
119	0.1722251243
120	0.1717956022
121	0.171452472
122	0.1707952055
123	0.1705733049
124	0.1698971479
125	0.1693829919
126	0.1691618318
127	0.1684499001
128	0.168132777
129	0.1676704884
130	0.1672597627
131	0.1669830809
132	0.166763687
133	0.1665324319
134	0.1663207505
135	0.1659443376
136	0.1656935846
137	0.1653102984
138	0.1651731724
139	0.164918958
140	0.1646719153
141	0.1642201357
142	0.1638540077
143	0.1635649126
144	0.1633562249
145	0.1631233246
146	0.1627764102
147	0.1623167656
148	0.1618921181
149	0.1613967122
150	0.1612008237
151	0.1609831096
152	0.1606894487
153	0.1604804598
154	0.1602560261
155	0.1598241439
156	0.1596325105
157	0.1592748411
158	0.159075009
159	0.1588424319
160	0.1586743492
161	0.1583457321
162	0.1581022709
163	0.1578796064
164	0.1577286714
165	0.1575453689
166	0.1573773236
167	0.1571734211
168	0.1569884676
169	0.1568306234
170	0.156313052
171	0.1561459366
172	0.1558151062
173	0.1556271979
174	0.1554609673
175	0.1553309973
176	0.1549971407
177	0.1548329778
178	0.1546953473
179	0.1545385877
180	0.1543834757
181	0.1541489707
182	0.1538695224
183	0.1536033618
184	0.1533077421
185	0.1529569855
186	0.1528200307
187	0.1525834685
188	0.1524762763
189	0.1522048929
190	0.1516322388
191	0.1514248091
192	0.1511503448
193	0.1508908586
194	0.1503724638
195	0.149817371
196	0.1496320425
197	0.1493704969
198	0.1490845881
199	0.1488918245
200	0.1487708833
201	0.1485286438
202	0.1481754961
203	0.1480547388
204	0.1475016272
205	0.1473895208
206	0.1472519287
207	0.1469677324
208	0.1468679613
209	0.1466531209
210	0.1465307074
211	0.1462770113
