Author,Title,Value,Length
Блок,Девушка розовой калитки и муравьиный царь,0.125,21631
Блок,"Ни сны, ни явь",0.08247422680412371,6580
Блок,"Сказка о той, которая не поймет её",0.043478260869565216,6546
Блок,Сограждане,0.07246376811594203,5919
Брюсов,Алтарь победы,0.17845611975344877,864973
Брюсов,Бемоль,0.07017543859649122,11798
Брюсов,В башне,0.19801980198019803,9158
Брюсов,В зеркале,0.17391304347826086,22392
Брюсов,В подземной тюрьме,0.1568627450980392,21733
Брюсов,Восстание машин,0.13636363636363635,15114
Брюсов,Гора Звезды,0.1586469747498809,134312
Брюсов,Декадент,0.15033112582781458,108306
Брюсов,Дитя и безумец,0.028037383177570093,6129
Брюсов,За себя или за другую,0.25,16788
Брюсов,Защита,0.11650485436893204,12320
Брюсов,Моцарт,0.22308892355694226,113652
Брюсов,Мраморная головка,0.16666666666666666,7268
Брюсов,Ночное путешествие,0.08333333333333333,8480
Брюсов,Обручение Даши,0.1797676008202324,112360
Брюсов,Огненный ангел,0.20626702997275204,630611
Тургенев,Первая любовь,0.12679083094555874,118428
Брюсов,Под Старым мостом,0.10666666666666667,27906
Брюсов,Последние мученики,0.15705128205128205,23131
Брюсов,Последние страницы из дневника женщины,0.20726172465960666,100402
Брюсов,Предсмертный бред Вергилия,0.10743801652892562,10666
Брюсов,"Рассказы Маши, с реки Мологи, под городом Устюжна",0.09395973154362416,9686
Брюсов,Республика Южного Креста,0.09848484848484848,45367
Брюсов,Рея Сильвия,0.125,57522
Брюсов,Семь земных соблазнов,0.14516129032258066,76222
Брюсов,Сестры,0.22838137472283815,27379
Брюсов,"Теперь, - когда я проснулся...",0.10674157303370786,18008
Брюсов,Через пятнадцать лет,0.1822429906542056,18752
Брюсов,"Элули, сын Элули",0.1232876712328767,17786
Брюсов,Юпитер поверженный,0.1828125,292589
Чехов,Агафья,0.17717717717717718,18893
Чехов,Альбом,0.23214285714285715,3823
Чехов,Анна на шее,0.1598173515981735,24707
Чехов,Анюта,0.22302158273381295,7439
Чехов,Аптекарша,0.24434389140271492,9357
Чехов,Ариадна,0.2124248496993988,50766
Чехов,Архиерей,0.215633423180593,29506
Чехов,"Ах, зубы",0.39325842696629215,3999
Чехов,Бабы,0.19020172910662825,23964
Чехов,Баран и барышня,0.1826086956521739,3534
Чехов,Барыня,0.31756756756756754,34893
Чехов,Беглец,0.21,13130
Чехов,Беда 1886,0.32432432432432434,6909
Чехов,Беда 1887,0.1870967741935484,11647
Чехов,Беззащитное существо,0.3630952380952381,8579
Чехов,Белолобый,0.16981132075471697,10006
Чехов,Беседа пьяного с трезвым чёртом,0.14285714285714285,3549
Чехов,Брак по расчёту,0.2827586206896552,7500
Чехов,Брожение умов,0.456,6568
Чехов,Бумажник,0.16666666666666666,4885
Чехов,В аптеке,0.21238938053097345,7294
Чехов,В вагоне,0.3423728813559322,9392
Чехов,В овраге,0.21796165489404642,71316
Чехов,В потёмках,0.32142857142857145,7844
Чехов,В ссылке,0.2653846153846154,16854
Чехов,В суде,0.1780821917808219,12519
Чехов,Ванька,0.12195121951219512,7194
Чехов,Ведьма,0.2863961813842482,21733
Чехов,Верочка,0.22525597269624573,24224
Чехов,Винт,0.21367521367521367,6579
Чехов,Вишнёвый сад,0.19367209971236818,86929
Чехов,Водевиль,0.27167630057803466,6799
Чехов,Володя,0.22865013774104684,23420
Чехов,Восклицательный знак,0.1935483870967742,8333
Чехов,Враги,0.37967914438502676,25317
Чехов,Встреча весны,0.1518987341772152,5870
Чехов,Выигрышный билет,0.26356589147286824,8572
Чехов,Глупый француз,0.3106060606060606,5822
Чехов,Горе,0.39901477832512317,9806
Чехов,Гость,0.24074074074074073,7203
Чехов,Грешник из Толедо,0.23076923076923078,10660
Чехов,Гриша,0.20224719101123595,5586
Чехов,Гусев,0.17525773195876287,23799
Чехов,Дама с собачкой,0.17475728155339806,30964
Чехов,Дачники,0.375,3229
Чехов,Дачница,0.21311475409836064,4677
Чехов,Два скандала,0.32857142857142857,19513
Чехов,Двадцать девятое июня,0.3164179104477612,12655
Чехов,День за городом,0.1674641148325359,10898
Чехов,Детвора,0.2751322751322751,9328
Чехов,Дипломат,0.35,7268
Чехов,Добрый знакомый,0.4406779661016949,2371
Чехов,Дом с мезонином,0.142433234421365,34618
Чехов,Дома,0.2145748987854251,17625
Чехов,Дополнительные вопросы,0.0,610
Чехов,Дорогая собака,0.3851851851851852,4263
Чехов,Дорогие уроки,0.15833333333333333,12051
Чехов,Дочь Альбиона,0.3924731182795699,6537
Чехов,Драма на охоте,0.23607012671411212,340510
Чехов,Душечка,0.28174603174603174,23473
Чехов,Дуэль,0.22184811073699962,194316
Чехов,Злоумышленник,0.24050632911392406,6681
Чехов,Ионыч,0.1327683615819209,33625
Чехов,Каштанка,0.23877068557919623,37612
Чехов,Крыжовник,0.16923076923076924,19765
Чехов,Лошадиная фамилия,0.2388888888888889,6198
Чехов,Налим,0.3562231759656652,8413
Чехов,О любви,0.08391608391608392,18241
Чехов,Палата №6,0.2478920741989882,102804
Чехов,Пересолил,0.25142857142857145,7167
Чехов,Смерть чиновника,0.3020833333333333,4602
Чехов,Толстый и тонкий,0.35714285714285715,3514
Чехов,Тоска,0.2557077625570776,9384
Чехов,Три сестры,0.21481194261341605,107535
Чехов,Хамелеон,0.30985915492957744,5830
Чехов,Хирургия,0.48,6144
Чехов,Человек в футляре,0.2423076923076923,25113
Достоевский,Ёлка и свадьба,0.0967741935483871,15532
Достоевский,Бедные люди,0.29683770883054894,254072
Достоевский,Белые ночи,0.3488168273444347,101961
Достоевский,Бесы,0.1787347300894015,1300178
Достоевский,Бобок,0.2716297786720322,30227
Достоевский,Братья Карамазовы,0.20770724726566492,1846193
Достоевский,Вечный муж,0.23477373256209594,275512
Достоевский,Господин Прохарчин,0.23703703703703705,65535
Достоевский,Два самоубийства,0.16,6566
Достоевский,Двойник,0.18216384376080194,321812
Достоевский,Дневник писателя,0.13583846236907463,1315224
Достоевский,Домовой,0.14666666666666667,5570
Достоевский,Дядюшкин сон,0.37806521153327943,269204
Достоевский,Записки из подполья,0.22514409221902018,244923
Достоевский,Игрок,0.21846484165324745,282627
Достоевский,Идиот,0.2240581155188377,1307580
Достоевский,Короткая,0.22597676874340022,80155
Достоевский,Крокодил,0.20303383897316218,71363
Достоевский,Маленький герой,0.1371794871794872,76671
Достоевский,Мальчик у Христа на ёлке,0.2708333333333333,10908
Достоевский,Неточка Незванова,0.23086359175662413,342027
Достоевский,Петербургские сновидения в стихах и в прозе,0.16666666666666666,47952
Достоевский,Подросток,0.1990936780328356,1246059
Достоевский,Ползунков,0.49193548387096775,28735
Достоевский,Роман в девяти письмах,0.24603174603174602,24147
Достоевский,Село Степанчиково и его обитатели,0.3108375132998936,429077
Достоевский,Скверный анекдот,0.15571955719557196,106389
Достоевский,Слабое сердце,0.32255892255892255,84123
Достоевский,Сон смешного человека,0.20408163265306123,44609
Достоевский,Униженные и оскорблённые,0.21658583899127062,727403
Достоевский,Хозяйка,0.23006955591225253,152999
Достоевский,Честный вор,0.25354609929078015,30631
Достоевский,Чужая жена и муж под кроватью,0.41625441696113075,75682
Гоголь,Вечера на хуторе близ Диканьки,0.3136083628896771,402125
Гоголь,Вий,0.17849223946784923,74616
Толстой,Записки сумасшедшего,0.18295739348370926,21833
Гоголь,Коляска,0.13307984790874525,23221
Гоголь,Мёртвые души,0.1982518871672626,757969
Гоголь,Невский проспект,0.2161764705882353,72172
Гоголь,Нос,0.19852941176470587,49608
Гоголь,Ночи на вилле,0.10738255033557047,12165
Гоголь,Ночь перед Рождеством,0.3098712446351931,83226
Гоголь,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",0.30666666666666664,93121
Гоголь,Портрет,0.14770459081836326,114356
Гоголь,Ревизор,0.2358490566037736,138159
Гоголь,Рим,0.12423625254582485,84485
Гоголь,Старосветские помещики,0.16890080428954424,46349
Гоголь,Тарас Бульба,0.2554002541296061,232125
Гоголь,Шинель,0.08311688311688312,65218
Горький,Бывшие люди,0.24044829342842589,113351
Горький,В людях,0.2850467289719626,1191308
Горький,В степи,0.23980815347721823,21630
Горький,Вывод,0.1951219512195122,4176
Горький,Город жёлтого дьявола,0.27884615384615385,22743
Горький,Двадцать шесть и одна,0.25227963525835867,26313
Горький,Дело с застёжками,0.20422535211267606,20278
Толстой,Детство,0.149375,191516
Горький,Емельян Пиляй,0.33753148614609574,21871
Горький,Знахарка,0.16783216783216784,19590
Горький,Коновалов,0.24797507788161993,93136
Горький,Ледоход,0.27370689655172414,38412
Горький,Ма-аленькая!...,0.1574074074074074,8182
Горький,Макар Чудра,0.37468354430379747,23187
Горький,Мать,0.302762077423483,560406
Горький,Мещане,0.2655357742693987,152175
Горький,Мои университеты,0.2484334684850719,223870
Горький,На дне,0.3787643588947532,102123
Горький,На плотах,0.3572744014732965,23031
Горький,Несвоевременные мысли,0.2977558839627805,254186
Горький,Озорник,0.24444444444444444,34510
Горький,Песня о Буревестнике,0.24,1679
Горький,Песня о соколе,0.1532258064516129,8345
Горький,Проходимец,0.22456813819577734,66810
Горький,Рождение человека,0.18779342723004694,17352
Горький,Сказки об Италии,0.24362850971922245,249473
Герцен,Скуки ради,0.16046511627906976,90016
Горький,Старуха Изергиль,0.22827687776141384,40288
Горький,Страсти-мордасти,0.25894736842105265,26217
Горький,Фома Гордеев,0.2739491969472605,489007
Горький,Челкаш,0.27860696517412936,61521
Горький,Человек,0.611764705882353,11190
Горький,Ярмарка в Голтве,0.2366412213740458,21001
Герцен,Доктор Крупов,0.12723214285714285,56950
Герцен,Долг прежде всего,0.06622516556291391,130607
Герцен,Елена,0.18625954198473282,64802
Герцен,Кто виноват,0.17336462305661485,423226
Герцен,Легенда,0.1066350710900474,52173
Герцен,Мимоездом,0.16363636363636364,5644
Герцен,Повреждённый,0.13020833333333334,45485
Герцен,С того берега,0.20371086200231928,352921
Герцен,Сорока-воровка,0.14383561643835616,46169
Герцен,Трагедия за стаканом грога,0.1171875,14312
Лермонтов,Ашик-Кериб,0.07964601769911504,15464
Лермонтов,Герой нашего времени,0.1776536312849162,281815
Лермонтов,Штосс,0.21021021021021022,26063
Пушкин,Арап Петра Великого,0.08028169014084507,61810
Пушкин,Дубровский,0.08774373259052924,136337
Пушкин,Египетские ночи,0.08273381294964029,22339
Пушкин,История Пугачёва,0.04068441064638783,264917
Пушкин,История села Горюхина,0.04946996466431095,30950
Пушкин,Капитанская дочка,0.146168108776267,211888
Пушкин,Кирджали,0.09868421052631579,11413
Пушкин,Пиковая дама,0.14589235127478753,46773
Пушкин,Повести Белкина,0.09782608695652174,124375
Пушкин,Рославлев,0.15849056603773584,21420
Толстой,Алёша горшок,0.06578947368421052,10341
Толстой,Альберт,0.15405777166437415,50918
Толстой,Анна Каренина,0.12603150787696923,1778358
Толстой,Божеское и человеческое,0.14543114543114544,68161
Толстой,Война и мир. Том 1,0.11256876851460008,825013
Толстой,Война и мир. Том 2,0.0873259174914601,855571
Толстой,Война и мир. Том 3,0.10355550948481393,920929
Толстой,Война и мир. Том 4,0.07472231571861326,900279
Толстой,Воскресение,0.09138272376784412,911515
Толстой,Два гусара,0.16997943797121315,110940
Толстой,Декабристы,0.08842897460018814,98385
Толстой,Дьявол,0.09235936188077246,86800
Толстой,Записки маркера,0.15294117647058825,29923
Толстой,Из записок князя Д. Нехлюдова (Люцерн),0.11611374407582939,50013
Толстой,Кавказский пленник,0.09876543209876543,41000
Толстой,Казаки,0.1572407883461868,289853
Толстой,Корней Васильев,0.09343936381709742,31816
Толстой,Крейцерова соната,0.18013734812466983,155398
Толстой,Метель,0.18425196850393702,54273
Толстой,Набег,0.0949367088607595,47524
Толстой,Отец Сергий,0.10684474123539232,82925
Толстой,Отрочество,0.1799844840961986,147250
Толстой,Поликуша,0.12327773749093546,106366
Толстой,После бала,0.055,18834
Толстой,Праведный судья,0.013157894736842105,4891
Толстой,Работник Емельян и пустой барабан,0.044715447154471545,13423
Толстой,Разжалованный,0.15833333333333333,49915
Толстой,Рубка леса,0.13875,69084
Толстой,Севастополь в августе 1855 года,0.20168711656441718,120473
Толстой,Севастополь в декабре месяце,0.06719367588932806,30917
Толстой,Севастополь в мае,0.1329479768786127,85974
Толстой,Семейное счастье,0.15605976757055895,165129
Толстой,Смерть Ивана Ильича,0.14925373134328357,109000
Толстой,Три смерти,0.13274336283185842,23645
Толстой,Утро пемещика,0.14770642201834863,98924
Толстой,Хаджи-Мурат,0.06646294881588999,231144
Толстой,Хозяин и работник,0.11988847583643122,97008
Толстой,Холстомер,0.09495896834701055,72506
Толстой,Юность,0.11911231884057971,312553
Толстой,Ягоды,0.12550607287449392,22073
Тургенев,Ася,0.11270296084049666,86784
Тургенев,Вешние воды,0.21069073238458869,252827
Тургенев,Дворянское гнездо,0.11386623164763458,304989
Тургенев,Дым,0.1917083210820347,324062
Тургенев,Записки охотника,0.17698098762281486,658891
Тургенев,Муму,0.12607944732297063,53532
Тургенев,Отцы и дети,0.13994107744107745,370304
Тургенев,Стихотворения в прозе,0.303637713437268,103420
Тургенев,Яков Пасынков,0.14965397923875431,71996
Rudnev,Время собирать копья,0.15767634854771784,19182
Rudnev,"Жги, еретик!",0.30120481927710846,6165
Rudnev,Нити,0.09375,6540
Rudnev,Новый пес старого дома,0.10660124888492417,164632
Rudnev,Обуза,0.10045366169799093,169254
Rudnev,Павлин-птица гордая,0.099644128113879,183655
Rudnev,Пиромант поневоле,0.25287356321839083,7391
Rudnev,Церковный дьявол,0.17280453257790368,25959
Rudnev,"Элементально, Вольфгар",0.09863945578231292,33791
