Author,Title,Value,Length,Rating
Блок,Девушка розовой калитки и муравьиный царь,0.125,21631,-1.0
Блок,"Ни сны, ни явь",0.08247422680412371,6580,-1.0
Блок,"Сказка о той, которая не поймет её",0.043478260869565216,6546,2.875
Блок,Сограждане,0.07246376811594203,5919,4.0
Брюсов,Алтарь победы,0.17845611975344874,864973,4.273
Брюсов,Бемоль,0.07017543859649122,11798,3.892
Брюсов,В башне,0.19801980198019806,9158,-1.0
Брюсов,В зеркале,0.17391304347826084,22392,4.045
Брюсов,В подземной тюрьме,0.1568627450980392,21733,3.715
Брюсов,Восстание машин,0.13636363636363635,15114,3.382
Брюсов,Гора Звезды,0.1586469747498809,134312,2.812
Брюсов,Декадент,0.15033112582781458,108306,-1.0
Брюсов,Дитя и безумец,0.02803738317757009,6129,3.587
Брюсов,За себя или за другую,0.25,16788,4.413
Брюсов,Защита,0.11650485436893206,12320,5.0
Брюсов,Моцарт,0.22308892355694224,113652,4.231
Брюсов,Мраморная головка,0.16666666666666666,7268,4.106
Брюсов,Ночное путешествие,0.08333333333333333,8480,-1.0
Брюсов,Обручение Даши,0.1797676008202324,112360,4.029
Брюсов,Огненный ангел,0.20626702997275204,630611,3.947
Тургенев,Первая любовь,0.12679083094555876,118428,4.248
Брюсов,Под Старым мостом,0.10666666666666667,27906,3.5
Брюсов,Последние мученики,0.15705128205128205,23131,2.5
Брюсов,Последние страницы из дневника женщины,0.20726172465960666,100402,4.059
Брюсов,Предсмертный бред Вергилия,0.10743801652892562,10666,-1.0
Брюсов,"Рассказы Маши, с реки Мологи, под городом Устюжна",0.09395973154362416,9686,4.0
Брюсов,Республика Южного Креста,0.09848484848484848,45367,3.812
Брюсов,Рея Сильвия,0.125,57522,4.1
Брюсов,Семь земных соблазнов,0.14516129032258066,76222,3.5
Брюсов,Сестры,0.2283813747228381,27379,2.703
Брюсов,"Теперь, - когда я проснулся...",0.10674157303370786,18008,4.121
Брюсов,Через пятнадцать лет,0.1822429906542056,18752,4.196
Брюсов,"Элули, сын Элули",0.1232876712328767,17786,3.333
Брюсов,Юпитер поверженный,0.1828125,292589,4.231
Чехов,Агафья,0.17717717717717718,18893,4.068
Чехов,Альбом,0.23214285714285715,3823,4.5
