iter	MultiClass
0	1.095968847
1	1.094252753
2	1.09231708
3	1.087828569
4	1.086407147
5	1.08481755
6	1.082629445
7	1.081583489
8	1.078477801
9	1.075766259
10	1.073952462
11	1.071541556
12	1.06954335
13	1.068054746
14	1.065865056
15	1.064149914
16	1.062213917
17	1.060345354
18	1.058271863
19	1.056488628
20	1.05508875
21	1.053906808
22	1.051899236
23	1.050498565
24	1.04808592
25	1.04561669
26	1.043949796
27	1.042172378
28	1.03937444
29	1.037799328
30	1.035443663
31	1.033559516
32	1.031718728
33	1.029461996
34	1.027549622
35	1.025983841
36	1.023682376
37	1.021443125
38	1.020524697
39	1.018871915
40	1.016485403
41	1.01413707
42	1.011740106
43	1.009827409
44	1.008022931
45	1.00617835
46	1.004391149
47	1.003008269
48	1.001552542
49	1.000401101
50	0.9989803305
51	0.9968794118
52	0.9951515779
53	0.9929457553
54	0.9913903132
55	0.9900722289
56	0.9887094208
57	0.987101123
58	0.9852515345
59	0.9838462604
60	0.9829012977
61	0.9817935664
62	0.9803455583
63	0.9786233932
64	0.9776093016
65	0.9760291507
66	0.9746848681
67	0.9731365021
68	0.9719655116
69	0.9702942911
70	0.9691949597
71	0.9682808526
72	0.9666154351
73	0.9651576463
74	0.9639436589
75	0.9636364716
76	0.9622766625
77	0.9612550403
78	0.9596899365
79	0.9583431731
80	0.9572302624
81	0.9559252871
82	0.9549992014
83	0.953424229
84	0.9522155671
85	0.9510008393
86	0.9492740785
87	0.9476559543
88	0.946476963
89	0.9455684557
90	0.944533045
91	0.9429512724
92	0.9414688601
93	0.9405792166
94	0.9391996657
95	0.9379141831
96	0.9367861719
97	0.9355407533
98	0.9342481918
99	0.9328905232
100	0.9317872195
101	0.9311591393
102	0.9303119368
103	0.9293217651
104	0.9282357964
105	0.9276495287
106	0.9266247749
107	0.9255664914
108	0.924784598
109	0.923590032
110	0.9222869732
111	0.9215651287
112	0.9210041526
113	0.9202494987
114	0.9192161694
115	0.9179727658
116	0.9169546437
117	0.9161240155
118	0.915203265
119	0.9141692576
120	0.9124377756
121	0.9111496016
122	0.9099736639
123	0.9085748258
124	0.9074706699
125	0.9069383873
126	0.9059773077
127	0.9051874624
128	0.9048499541
129	0.9041899407
130	0.9025960971
131	0.9015464913
132	0.9009847753
133	0.9000778793
134	0.8992106746
135	0.897852571
136	0.896762522
137	0.896033479
138	0.8945487283
139	0.8933533638
140	0.8921215183
141	0.8916967497
142	0.8905505814
143	0.8896361313
144	0.8887128242
145	0.8874556012
146	0.8865445399
147	0.8857889431
148	0.8849242807
149	0.8838705657
150	0.8834887501
151	0.8829848601
152	0.8816622374
153	0.8806873065
154	0.8796552378
155	0.8789850998
156	0.8776767678
157	0.8770113725
158	0.8760420051
159	0.8752630475
160	0.8743329185
161	0.87363235
162	0.8726476038
163	0.8715994025
164	0.8706227887
165	0.8700074193
166	0.8693000214
167	0.8681671962
168	0.8674979771
169	0.8668161248
170	0.8655726747
171	0.8645467062
172	0.8637208628
173	0.8628390007
174	0.8617579208
175	0.8606385677
176	0.8595387488
177	0.8589762642
178	0.8580688766
179	0.8574616898
180	0.8572396792
181	0.8563287549
182	0.8554591676
183	0.8550310319
184	0.8545684362
185	0.8540937459
186	0.8535908409
187	0.8527848672
188	0.8518462573
189	0.8509775364
190	0.8504495727
191	0.8498389131
192	0.8491505732
193	0.8482010285
194	0.847787625
195	0.8471619489
196	0.8462075231
197	0.8455439731
198	0.8445778579
199	0.8441680415
