iter	Passed	Remaining
0	139	27726
1	142	14132
2	146	9649
3	150	7384
4	154	6020
5	157	5105
6	161	4450
7	162	3905
8	166	3525
9	169	3217
10	172	2965
11	176	2757
12	179	2580
13	182	2427
14	186	2296
15	189	2183
16	193	2083
17	196	1991
18	200	1908
19	203	1832
20	207	1765
21	210	1702
22	214	1648
23	218	1599
24	222	1556
25	226	1513
26	229	1473
27	233	1434
28	237	1399
29	240	1364
30	244	1332
31	248	1302
32	251	1274
33	255	1248
34	259	1222
35	262	1197
36	266	1173
37	270	1152
38	273	1130
39	277	1110
40	281	1090
41	284	1070
42	288	1052
43	291	1034
44	295	1016
45	298	999
46	302	983
47	305	967
48	309	952
49	312	937
50	314	919
51	317	904
52	321	890
53	324	878
54	328	865
55	331	852
56	335	841
57	339	829
58	340	814
59	344	803
60	348	793
61	352	783
62	355	773
63	359	763
64	363	754
65	366	744
66	370	735
67	374	727
68	378	718
69	382	709
70	385	701
71	389	692
72	393	684
73	396	675
74	400	667
75	401	654
76	404	646
77	408	638
78	411	630
79	415	622
80	418	614
81	421	606
82	425	599
83	428	591
84	431	584
85	435	577
86	438	570
87	442	563
88	445	556
89	449	549
90	452	542
91	456	535
92	459	528
93	463	522
94	466	515
95	470	509
96	473	503
97	477	497
98	481	490
99	485	485
100	489	479
101	493	473
102	496	467
103	500	462
104	504	456
105	508	450
106	511	444
107	515	439
108	519	433
109	523	428
110	526	422
111	530	417
112	534	411
113	538	406
114	542	400
115	546	395
116	549	389
117	552	384
118	556	378
119	560	373
120	563	367
121	567	362
122	570	357
123	573	351
124	577	346
125	581	341
126	584	335
127	588	331
128	592	325
129	595	320
130	599	315
131	603	311
132	608	306
133	611	301
134	615	296
135	618	291
136	622	286
137	626	281
138	629	276
139	633	271
140	637	266
141	640	261
142	644	256
143	648	252
144	652	247
145	656	242
146	660	238
147	664	233
148	667	228
149	671	223
150	675	219
151	678	214
152	682	209
153	686	205
154	690	200
155	694	195
156	698	191
157	701	186
158	705	181
159	708	177
160	712	172
161	716	168
162	720	163
163	724	158
164	728	154
165	732	149
166	736	145
167	739	140
168	743	136
169	747	131
170	751	127
171	754	122
172	757	118
173	761	113
174	765	109
175	768	104
176	772	100
177	775	95
178	778	91
179	782	86
180	785	82
181	789	78
182	792	73
183	796	69
184	799	64
185	802	60
186	806	56
187	810	51
188	813	47
189	816	42
190	820	38
191	823	34
192	827	30
193	830	25
194	833	21
195	837	17
196	840	12
197	844	8
198	847	4
199	851	0
