,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Value,Length
0,Blok,Девушка розовой калитки и муравьиный царь,0.9168796132595411,0.0003119676496874,Блок,-1.0,0.125,21631
1,Blok,"Ни сны, ни явь",0.9173629008596138,0.0002239124190326,Блок,-1.0,0.0824742268041237,6580
2,Blok,"Сказка о той, которая не поймет её",0.8342619653414198,0.0001782858606212,Блок,2.875,0.0434782608695652,6546
3,Blok,Сограждане,0.8930607888330565,0.0001817455121967,Блок,4.0,0.072463768115942,5919
4,Bryusov,Алтарь победы,0.8944869452557427,0.0003099306858175,Брюсов,4.273,0.1784561197534487,864973
5,Bryusov,Бемоль,0.8762704577807201,0.0001629310943058,Брюсов,3.892,0.0701754385964912,11798
6,Bryusov,В башне,0.873097392873017,0.0001886312519318,Брюсов,-1.0,0.198019801980198,9158
7,Bryusov,В зеркале,0.8447384255227919,0.0002137810136311,Брюсов,4.045,0.1739130434782608,22392
8,Bryusov,В подземной тюрьме,0.8938973015557456,0.0001609340105181,Брюсов,3.715,0.1568627450980392,21733
9,Bryusov,Восстание машин,0.902735307839026,0.0002428654797351,Брюсов,3.382,0.1363636363636363,15114
10,Bryusov,Гора Звезды,0.8936274361479961,0.0002432844091253,Брюсов,2.812,0.1586469747498809,134312
11,Bryusov,Декадент,0.8897224631879664,0.0002297800795089,Брюсов,-1.0,0.1503311258278145,108306
12,Bryusov,Дитя и безумец,0.8613129969064275,0.0001347263088986,Брюсов,3.587,0.02803738317757,6129
13,Bryusov,За себя или за другую,0.8702819623975833,0.000138470507018,Брюсов,4.413,0.25,16788
14,Bryusov,Защита,0.8439319257759379,0.0001873915709439,Брюсов,5.0,0.116504854368932,12320
15,Bryusov,Моцарт,0.8988129301753983,0.0001531043090143,Брюсов,4.231,0.2230889235569422,113652
16,Bryusov,Мраморная головка,0.8413608150428673,0.0001607139851725,Брюсов,4.106,0.1666666666666666,7268
17,Bryusov,Ночное путешествие,0.9014489659854228,0.0002146248176022,Брюсов,-1.0,0.0833333333333333,8480
18,Bryusov,Обручение Даши,0.9109509396067726,0.0002160810937393,Брюсов,4.029,0.1797676008202324,112360
19,Bryusov,Огненный ангел,0.8926181149600241,0.000296274849284,Брюсов,3.947,0.206267029972752,630611
20,Turgenev,Первая любовь,0.864077718088404,0.0002374325589003,Тургенев,4.248,0.1267908309455587,118428
21,Bryusov,Под Старым мостом,0.8995268599374797,0.0001274972572326,Брюсов,3.5,0.1066666666666666,27906
22,Bryusov,Последние мученики,0.9069646150804526,0.0002742682541652,Брюсов,2.5,0.157051282051282,23131
23,Bryusov,Последние страницы из дневника женщины,0.8635672134111951,0.0001875918619457,Брюсов,4.059,0.2072617246596066,100402
24,Bryusov,Предсмертный бред Вергилия,0.9289330262044192,0.0002128085795739,Брюсов,-1.0,0.1074380165289256,10666
25,Bryusov,"Рассказы Маши, с реки Мологи, под городом Устюжна",0.8651993491360163,0.0001694138687779,Брюсов,4.0,0.0939597315436241,9686
26,Bryusov,Республика Южного Креста,0.920798602113706,0.0002915624370913,Брюсов,3.812,0.0984848484848484,45367
27,Bryusov,Рея Сильвия,0.8984117900865937,0.0002111455294089,Брюсов,4.1,0.125,57522
28,Bryusov,Семь земных соблазнов,0.9011064890728676,0.0003035756597147,Брюсов,3.5,0.1451612903225806,76222
29,Bryusov,Сестры,0.882634796812499,0.000204798230487,Брюсов,2.703,0.2283813747228381,27379
30,Bryusov,"Теперь, - когда я проснулся...",0.8696231661042737,0.000249008341843,Брюсов,4.121,0.1067415730337078,18008
31,Bryusov,Через пятнадцать лет,0.8841969937524975,0.0001244225635424,Брюсов,4.196,0.1822429906542056,18752
32,Bryusov,"Элули, сын Элули",0.9009399801216318,0.000140838913356,Брюсов,3.333,0.1232876712328767,17786
33,Bryusov,Юпитер поверженный,0.8885021526313819,0.0002803323745407,Брюсов,4.231,0.1828125,292589
34,Chekhov,Агафья,0.8990524764404311,0.0001574220721443,Чехов,4.068,0.1771771771771771,18893
35,Chekhov,Альбом,0.8824817466717464,0.000148357623535,Чехов,4.5,0.2321428571428571,3823
36,Chekhov,Анна на шее,0.8717201904010329,0.0002004553450191,Чехов,4.216,0.1598173515981735,24707
37,Chekhov,Анюта,0.9038325803841408,0.0001372756563666,Чехов,3.934,0.2230215827338129,7439
38,Chekhov,Аптекарша,0.9063395209230336,0.0001373074936974,Чехов,4.162,0.2443438914027149,9357
39,Chekhov,Ариадна,0.8683420577762098,0.0002310831063547,Чехов,4.255,0.2124248496993988,50766
40,Chekhov,Архиерей,0.8844397361596941,0.0002076493323507,Чехов,3.997,0.215633423180593,29506
41,Chekhov,"Ах, зубы",0.8940793354182104,0.0001279440636055,Чехов,3.777,0.3932584269662921,3999
42,Chekhov,Бабы,0.8801793989105737,0.0002154877812225,Чехов,4.12,0.1902017291066282,23964
43,Chekhov,Баран и барышня,0.8779763985791104,0.0001279413743151,Чехов,3.95,0.1826086956521739,3534
44,Chekhov,Барыня,0.8889183466037655,0.0001966646367576,Чехов,4.213,0.3175675675675675,34893
45,Chekhov,Беглец,0.8775077246880524,0.0001389258383039,Чехов,4.029,0.21,13130
46,Chekhov,Беда 1886,0.8861010600106612,0.0001894434142852,Чехов,-1.0,0.3243243243243243,6909
47,Chekhov,Беда 1887,0.8665892898191491,0.0001559595316788,Чехов,-1.0,0.1870967741935484,11647
48,Chekhov,Беззащитное существо,0.8889276048809714,0.0001343769888193,Чехов,4.146,0.3630952380952381,8579
49,Chekhov,Белолобый,0.8622136859485389,0.000151271476164,Чехов,4.22,0.1698113207547169,10006
50,Chekhov,Беседа пьяного с трезвым чёртом,0.9040945689961168,0.0001561306474356,Чехов,4.273,0.1428571428571428,3549
51,Chekhov,Брак по расчёту,0.903206237917705,0.0001901100696522,Чехов,4.157,0.2827586206896552,7500
52,Chekhov,Брожение умов,0.9049197150854268,0.0001705611686009,Чехов,3.927,0.456,6568
53,Chekhov,Бумажник,0.8902201599076414,0.0001453905549118,Чехов,4.142,0.1666666666666666,4885
54,Chekhov,В аптеке,0.8999321598452209,0.0001476317877948,Чехов,4.205,0.2123893805309734,7294
55,Chekhov,В вагоне,0.9040836431405131,0.0001901176475682,Чехов,4.024,0.3423728813559322,9392
56,Chekhov,В овраге,0.8881039138429303,0.0002630612269924,Чехов,4.3,0.2179616548940464,71316
57,Chekhov,В потёмках,0.8940011688278615,0.0001782072296376,Чехов,4.007,0.3214285714285714,7844
58,Chekhov,В ссылке,0.8774306533422669,0.0002130557623742,Чехов,4.013,0.2653846153846154,16854
59,Chekhov,В суде,0.9081396774770922,0.0002338130385862,Чехов,4.054,0.1780821917808219,12519
60,Chekhov,Ванька,0.8934497274414018,0.00020305407906,Чехов,4.369,0.1219512195121951,7194
61,Chekhov,Ведьма,0.8968712074154388,0.0001865659906204,Чехов,4.174,0.2863961813842482,21733
62,Chekhov,Верочка,0.8869338751820974,0.0002105298566299,Чехов,4.071,0.2252559726962457,24224
63,Chekhov,Винт,0.8950650038747595,0.0001288242056426,Чехов,3.966,0.2136752136752136,6579
64,Chekhov,Вишнёвый сад,0.906440699366003,0.0001644946878847,Чехов,4.173,0.1936720997123681,86929
65,Chekhov,Водевиль,0.8945491075148705,0.0001659266458876,Чехов,3.961,0.2716763005780346,6799
66,Chekhov,Володя,0.8737349998236729,0.0001537259804491,Чехов,4.242,0.2286501377410468,23420
67,Chekhov,Восклицательный знак,0.8854557625822294,0.0001447709823027,Чехов,4.07,0.1935483870967742,8333
68,Chekhov,Враги,0.8911246961529552,0.0001846786021874,Чехов,4.473,0.3796791443850268,25317
