Unnamed: 0,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Emotional,Length,AvgWordLength,AvgSentenceLength,LongWordRatio,LexicalDiversity,SentimentScore,VerbRatio,AdjRatio,QuotesCount,NegationCount,ExclamationCount,AbstractNounRatio
0,Blok,Девушка розовой калитки и муравьиный царь,0.9168796132595411,0.0003119676496874,Блок,-1.0,0.125,21631,5.848,12.19,0.245,0.676,,,0.2118,63,58,7,0.0215
1,Blok,"Ни сны, ни явь",0.9173629008596138,0.0002239124190326,Блок,-1.0,0.0824742268041237,6580,5.473,9.433,0.197,0.76,,,0.141,18,26,0,0.0109
2,Blok,"Сказка о той, которая не поймет её",0.8342619653414198,0.0001782858606212,Блок,2.875,0.0434782608695652,6546,5.738,19.304,0.233,0.691,,,0.1858,4,13,0,0.0101
3,Blok,Сограждане,0.8930607888330565,0.0001817455121967,Блок,4.0,0.072463768115942,5919,5.886,11.072,0.263,0.724,,,0.1492,0,16,3,0.0065
4,Bryusov,Алтарь победы,0.8944869452557427,0.0003099306858175,Брюсов,4.273,0.1784561197534487,864973,5.725,16.944,0.247,0.228,,,0.1412,516,3007,747,0.0167
5,Bryusov,Бемоль,0.8762704577807201,0.0001629310943058,Брюсов,3.892,0.0701754385964912,11798,6.03,12.414,0.286,0.643,,,0.1403,12,32,1,0.0111
6,Bryusov,В башне,0.873097392873017,0.0001886312519318,Брюсов,-1.0,0.198019801980198,9158,5.494,11.413,0.209,0.687,,,0.1483,0,24,11,0.0211
7,Bryusov,В зеркале,0.8447384255227919,0.0002137810136311,Брюсов,4.045,0.1739130434782608,22392,5.74,11.932,0.251,0.536,,,0.1665,6,50,9,0.0189
8,Bryusov,В подземной тюрьме,0.8938973015557456,0.0001609340105181,Брюсов,3.715,0.1568627450980392,21733,5.741,13.005,0.237,0.614,,,0.1361,0,72,18,0.013
9,Bryusov,Восстание машин,0.902735307839026,0.0002428654797351,Брюсов,3.382,0.1363636363636363,15114,6.145,16.802,0.316,0.641,,,0.1401,38,54,11,0.0185
10,Bryusov,Гора Звезды,0.8936274361479961,0.0002432844091253,Брюсов,2.812,0.1586469747498809,134312,5.488,8.252,0.205,0.374,,,0.1147,24,392,185,0.0141
